injection_id	calibration_group
2015-12-20_01.lcd	2015-12-20
2015-12-20_02.lcd	2015-12-20
2015-12-20_03.lcd	2015-12-20
2015-12-20_04.lcd	2015-12-20
2015-12-20_05.lcd	2015-12-20
2015-12-20_06.lcd	2015-12-20
2015-12-20_07.lcd	2015-12-20
2015-12-20_08.lcd	2015-12-20
2015-12-20_09.lcd	2015-12-20
2015-12-20_10.lcd	2015-12-20
2015-12-20_12.lcd	2015-12-20
2015-12-20_13.lcd	2015-12-20
2015-12-20_15.lcd	2015-12-20
2015-12-20_16.lcd	2015-12-20
2015-12-20_17.lcd	2015-12-20
2015-12-20_20.lcd	2015-12-20
2015-12-20_21.lcd	2015-12-20
2015-12-20_22.lcd	2015-12-20
2015-12-20_23.lcd	2015-12-20
2015-12-20_24.lcd	2015-12-20
2015-12-20_25.lcd	2015-12-20
2015-12-20_26.lcd	2015-12-20
2015-12-20_27.lcd	2015-12-20
2015-12-20_28.lcd	2015-12-20
2015-12-20_30.lcd	2015-12-20
2015-12-20_31.lcd	2015-12-20
2015-12-20_32.lcd	2015-12-20
2015-12-20_33.lcd	2015-12-20
2015-12-20_34.lcd	2015-12-20
2015-12-20_35.lcd	2015-12-20
2015-12-20_36.lcd	2015-12-20
2015-12-20_37.lcd	2015-12-20
2015-12-20_38.lcd	2015-12-20
2015-12-20_39.lcd	2015-12-20
2015-12-20_40.lcd	2015-12-20
2015-12-19_01.lcd	2015-12-19
2015-12-19_02.lcd	2015-12-19
2015-12-19_03.lcd	2015-12-19
2015-12-19_04.lcd	2015-12-19
2015-12-19_05.lcd	2015-12-19
2015-12-19_06.lcd	2015-12-19
2015-12-19_07.lcd	2015-12-19
2015-12-19_08.lcd	2015-12-19
2015-12-19_09.lcd	2015-12-19
2015-12-19_10.lcd	2015-12-19
2015-12-19_11.lcd	2015-12-19
2015-12-19_12.lcd	2015-12-19
2015-12-19_13.lcd	2015-12-19
2015-12-19_14.lcd	2015-12-19
2015-12-19_15.lcd	2015-12-19
2015-12-19_16.lcd	2015-12-19
2015-12-19_17.lcd	2015-12-19
2015-12-19_18.lcd	2015-12-19
2015-12-19_19.lcd	2015-12-19
2015-12-19_20.lcd	2015-12-19
2015-12-19_21.lcd	2015-12-19
2015-12-19_22.lcd	2015-12-19
2015-12-19_23.lcd	2015-12-19
2015-12-19_24.lcd	2015-12-19
2015-12-19_25.lcd	2015-12-19
2015-12-19_26.lcd	2015-12-19
2015-12-19_27.lcd	2015-12-19
2015-12-19_28.lcd	2015-12-19
2015-12-19_29.lcd	2015-12-19
2015-12-19_30.lcd	2015-12-19
2015-12-19_31.lcd	2015-12-19
2015-12-19_32.lcd	2015-12-19
2015-12-19_33.lcd	2015-12-19
2015-12-19_34.lcd	2015-12-19
2015-12-19_35.lcd	2015-12-19
2015-12-19_36.lcd	2015-12-19
2015-12-19_37.lcd	2015-12-19
2015-12-19_38.lcd	2015-12-19
2015-12-19_39.lcd	2015-12-19
2015-12-19_40.lcd	2015-12-19
2015-12-30_01.lcd	2015-12-30_a
2015-12-30_02.lcd	2015-12-30_a
2015-12-30_03.lcd	2015-12-30_a
2015-12-30_04.lcd	2015-12-30_a
2015-12-30_05.lcd	2015-12-30_a
2015-12-30_06.lcd	2015-12-30_a
2015-12-30_07.lcd	2015-12-30_a
2015-12-30_08.lcd	2015-12-30_a
2015-12-30_09.lcd	2015-12-30_a
2015-12-30_10.lcd	2015-12-30_a
2015-12-30_11.lcd	2015-12-30_a
2015-12-30_12.lcd	2015-12-30_a
2015-12-30_13.lcd	2015-12-30_a
2015-12-30_14.lcd	2015-12-30_a
2015-12-30_15.lcd	2015-12-30_a
2015-12-30_16.lcd	2015-12-30_a
2015-12-30_17.lcd	2015-12-30_a
2015-12-30_18.lcd	2015-12-30_a
2015-12-30_19.lcd	2015-12-30_a
2015-12-30_20.lcd	2015-12-30_a
2015-12-30_21.lcd	2015-12-30_a
2015-12-30_22.lcd	2015-12-30_a
2015-12-30_23.lcd	2015-12-30_a
2015-12-30_24.lcd	2015-12-30_a
2015-12-30_25.lcd	2015-12-30_a
2015-12-30_26.lcd	2015-12-30_a
2015-12-30_27.lcd	2015-12-30_a
