injection_id	extraction_id	known_id	volume	fraction_known
2015-12-19_01.lcd		STD-0001	30	1
2015-12-19_02.lcd		STD-0002	30	1
2015-12-19_03.lcd		STD-0003	30	1
2015-12-19_04.lcd		STD-0004	30	1
2015-12-19_05.lcd		STD-0005	30	1
2015-12-19_06.lcd		STD-0006	30	1
2015-12-19_07.lcd		STD-0007	30	1
2015-12-19_08.lcd		STD-0008	30	1
2015-12-19_09.lcd			30	0
2015-12-19_10.lcd			30	0
2015-12-19_11.lcd			30	0
2015-12-19_12.lcd			30	0
2015-12-19_13.lcd	EXT-0029		30	0
2015-12-19_14.lcd			30	0
2015-12-19_15.lcd	EXT-0031		30	0
2015-12-19_16.lcd	EXT-0032		30	0
2015-12-19_17.lcd			30	0
2015-12-19_18.lcd			30	0
2015-12-19_19.lcd			30	0
2015-12-19_20.lcd			30	0
2015-12-19_21.lcd	EXT-0037		30	0
2015-12-19_22.lcd	EXT-0038		30	0
2015-12-19_23.lcd			30	0
2015-12-19_24.lcd	EXT-0040		30	0
2015-12-19_25.lcd	EXT-0041		30	0
2015-12-19_26.lcd			30	0
2015-12-19_27.lcd			30	0
2015-12-19_28.lcd			30	0
2015-12-19_29.lcd	EXT-0045		30	0
2015-12-19_30.lcd	EXT-0046		30	0
2015-12-19_31.lcd			30	0
2015-12-19_32.lcd	EXT-0048		30	0
2015-12-19_33.lcd		STD-0001	30	1
2015-12-19_34.lcd		STD-0002	30	1
2015-12-19_35.lcd		STD-0003	30	1
2015-12-19_36.lcd		STD-0004	30	1
2015-12-19_37.lcd		STD-0005	30	1
2015-12-19_38.lcd		STD-0006	30	1
2015-12-19_39.lcd		STD-0007	30	1
2015-12-19_40.lcd		STD-0008	30	1
2015-12-20_01.lcd		STD-0001	30	1
2015-12-20_02.lcd		STD-0002	30	1
2015-12-20_03.lcd		STD-0003	30	1
2015-12-20_04.lcd		STD-0004	30	1
2015-12-20_05.lcd		STD-0005	30	1
2015-12-20_06.lcd		STD-0006	30	1
2015-12-20_07.lcd		STD-0007	30	1
2015-12-20_08.lcd		STD-0008	30	1
2015-12-20_09.lcd			30	0
2015-12-20_10.lcd			30	0
2015-12-20_12.lcd			30	0
2015-12-20_13.lcd	EXT-0029		30	0
2015-12-20_15.lcd	EXT-0031		30	0
2015-12-20_16.lcd	EXT-0032		30	0
2015-12-20_17.lcd			30	0
2015-12-20_20.lcd			30	0
2015-12-20_21.lcd	EXT-0037		30	0
2015-12-20_22.lcd	EXT-0038		30	0
2015-12-20_23.lcd			30	0
2015-12-20_24.lcd	EXT-0040		30	0
2015-12-20_25.lcd	EXT-0041		30	0
2015-12-20_26.lcd			30	0
2015-12-20_27.lcd			30	0
2015-12-20_28.lcd			30	0
2015-12-20_30.lcd	EXT-0046		30	0
2015-12-20_31.lcd			30	0
2015-12-20_32.lcd	EXT-0048		30	0
2015-12-20_33.lcd		STD-0001	30	1
2015-12-20_34.lcd		STD-0002	30	1
2015-12-20_35.lcd		STD-0003	30	1
2015-12-20_36.lcd		STD-0004	30	1
2015-12-20_37.lcd		STD-0005	30	1
2015-12-20_38.lcd		STD-0006	30	1
2015-12-20_39.lcd		STD-0007	30	1
2015-12-20_40.lcd		STD-0008	30	1
2015-12-30_01.lcd		STD-0001	30	1
2015-12-30_02.lcd		STD-0002	30	1
2015-12-30_03.lcd		STD-0003	30	1
2015-12-30_04.lcd		STD-0004	30	1
2015-12-30_05.lcd		STD-0005	30	1
2015-12-30_06.lcd		STD-0006	30	1
2015-12-30_07.lcd		STD-0007	30	1
2015-12-30_08.lcd		STD-0008	30	1
2015-12-30_09.lcd			30	0
2015-12-30_10.lcd	EXT-0049		30	0
2015-12-30_11.lcd			30	0
2015-12-30_12.lcd			30	0
2015-12-30_13.lcd	EXT-0052		30	0
2015-12-30_14.lcd			30	0
2015-12-30_15.lcd			30	0
2015-12-30_16.lcd			30	0
2015-12-30_17.lcd	EXT-0056		30	0
2015-12-30_18.lcd			30	0
2015-12-30_19.lcd			30	0
2015-12-30_20.lcd			30	0
2015-12-30_21.lcd	EXT-0060		30	0
2015-12-30_22.lcd			30	0
2015-12-30_23.lcd	EXT-0062		30	0
2015-12-30_24.lcd			30	0
2015-12-30_25.lcd			30	0
2015-12-30_26.lcd			30	0
2015-12-30_27.lcd			30	0
2015-12-30_28.lcd	EXT-0067		30	0
2015-12-30_29.lcd			30	0
2015-12-30_30.lcd	EXT-0069		30	0
2015-12-30_31.lcd	EXT-0070		30	0
2015-12-30_32.lcd	EXT-0071		30	0
2015-12-30_33.lcd	EXT-0072		30	0
2015-12-30_34.lcd		STD-0001	30	1
2015-12-30_35.lcd		STD-0002	30	1
2015-12-30_36.lcd		STD-0003	30	1
2015-12-30_37.lcd		STD-0004	30	1
2015-12-30_38.lcd		STD-0005	30	1
2015-12-30_39.lcd		STD-0006	30	1
2015-12-30_40.lcd		STD-0007	30	1
2015-12-30_41.lcd		STD-0008	30	1
2015-12-30_42.lcd			30	0
2015-12-30_43.lcd	EXT-0074		30	0
2015-12-30_44.lcd			30	0
2015-12-30_45.lcd			30	0
2015-12-30_46.lcd			30	0
2015-12-30_47.lcd			30	0
2015-12-30_48.lcd	EXT-0079		30	0
2015-12-30_49.lcd	EXT-0080		30	0
2015-12-30_50.lcd	EXT-0081		30	0
2015-12-30_51.lcd	EXT-0082		30	0
2015-12-30_52.lcd	EXT-0083		30	0
2015-12-30_53.lcd			30	0
2015-12-30_54.lcd			30	0
2015-12-30_55.lcd	EXT-0086		30	0
2015-12-30_56.lcd	EXT-0087		30	0
2015-12-30_57.lcd	EXT-0088		30	0
2015-12-30_58.lcd			30	0
2015-12-30_59.lcd	EXT-0090		30	0
2015-12-30_60.lcd			30	0
2015-12-30_61.lcd			30	0
2015-12-30_62.lcd			30	0
2015-12-30_63.lcd	EXT-0094		30	0
2015-12-30_64.lcd	EXT-0095		30	0
2015-12-30_65.lcd			30	0
2015-12-30_66.lcd		STD-0001	30	1
2015-12-30_67.lcd		STD-0002	30	1
2015-12-30_68.lcd		STD-0003	30	1
2015-12-30_69.lcd		STD-0004	30	1
2015-12-30_70.lcd		STD-0005	30	1
2015-12-30_71.lcd		STD-0006	30	1
2015-12-30_72.lcd		STD-0007	30	1
2015-12-30_73.lcd		STD-0008	30	1
2016-01-08_013.lcd	EXT-0102		30	0
2016-01-08_014.lcd			30	0
2016-01-08_015.lcd			30	0
2016-01-08_016.lcd	EXT-0105		30	0
2016-01-08_017.lcd	EXT-0106		30	0
2016-01-08_018.lcd	EXT-0107		30	0
2016-01-08_019.lcd			30	0
2016-01-08_020.lcd	EXT-0110		30	0
2016-01-08_021.lcd	EXT-0111		30	0
2016-01-08_022.lcd			30	0
2016-01-08_023.lcd			30	0
2016-01-08_024.lcd			30	0
2016-01-08_025.lcd	EXT-0115		30	0
2016-01-08_026.lcd	EXT-0116		30	0
2016-01-08_027.lcd			30	0
