known_id	standard_id	dilution
STD-0001	2015-12-07_scoa	0.005
STD-0002	2015-12-07_scoa	0.0125
STD-0003	2015-12-07_scoa	0.025
STD-0004	2015-12-07_scoa	0.05
STD-0005	2015-12-07_scoa	0.125
STD-0006	2015-12-07_scoa	0.25
STD-0007	2015-12-07_scoa	0.5
STD-0008	2015-12-07_scoa	1
STD-0009	2015-12-07_scoa	1
STD-0010	2015-12-07_scoa	0.5
STD-0011	2015-12-07_scoa	0.25
STD-0012	2015-12-07_scoa	0.125
STD-0013	2015-12-07_scoa	0.05
STD-0014	2015-12-07_scoa	0.025
STD-0015	2015-12-07_scoa	0.0125
STD-0016	2015-12-07_scoa	0.005
BLANK	blank	
STD-0017	2015-12-07_scoa	0.5
STD-0018	2016-03-02_scoa	0.5
STD-0019	2016-03-09_scoa	1
STD-0020	2016-03-09_scoa	0.5
STD-0021	2016-03-09_scoa	0.25
STD-0022	2016-03-09_scoa	0.125
STD-0023	2016-03-09_scoa	0.05
STD-0024	2016-03-09_scoa	0.025
STD-0025	2016-03-09_scoa	0.0125
STD-0026	2016-03-09_scoa	0.005
STD-0027	biorad_scoa	1
STD-0028	2016-03-09_scoa	1
STD-0029	2016-03-09_scoa	0.5
STD-0030	2016-03-09_scoa	0.25
STD-0031	2016-03-09_scoa	0.125
STD-0032	2016-03-09_scoa	0.05
STD-0033	2016-03-09_scoa	0.025
STD-0034	2016-03-09_scoa	0.0125
STD-0035	2016-03-09_scoa	0.005
STD-0036	2016-06-15_acetate	1
STD-0037	2016-06-15_butyrate	1
STD-0038	2016-06-15_fructose	1
STD-0039	2016-06-15_glucose	1
STD-0040	2016-06-15_lactate	1
STD-0041	2016-06-15_propionate	1
STD-0042	2016-06-15_succinate	1
STD-0043	2016-06-15_acetate	0.2
STD-0044	2016-06-15_butyrate	0.2
STD-0045	2016-06-15_fructose	0.2
STD-0046	2016-06-15_glucose	0.2
STD-0047	2016-06-15_lactate	0.2
STD-0048	2016-06-15_propionate	0.2
STD-0049	2016-06-15_succinate	0.2
STD-0050	2016-03-09_scoa	0.5
STD-0051	2016-03-09_scoa	0.25
STD-0052	2016-03-09_scoa	0.125
STD-0053	2016-03-09_scoa	0.05
STD-0054	2016-03-09_scoa	0.025
STD-0055	2016-03-09_scoa	0.0125
STD-0056	2016-03-09_scoa	0.005
STD-0090	2016-11-08_acetate	1
STD-0091	2016-11-08_acetaldehyde	1
STD-0092	2016-11-08_mix	0.05
STD-0093	2016-11-08_mix	0.125
STD-0094	2016-11-08_mix	0.25
STD-0095	2016-11-08_mix	0.5
STD-0096	2016-11-08_mix	1.0
