seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||AF183405.ApvTann2	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||U43699.UniEuba9	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||AF183403.ApvTanne	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||AJ005634.ApvTann3	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||AF371904.Unc27852	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella||AY349399.PreSpe59	Prevotellaceae	Alloprevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB588018.PreOryz2	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349401.PreSpe55	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB108825.PreShahi	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY836508.PreLoes4	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349398.PreSpe57	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB108826.PreSali2	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385512.PreSpe37	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||FJ940882.PreBaro2	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||EF534314.PreMacul	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||L16472.PreOulor	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF040719.PreSpe75	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385515.PreSpe36	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY350613.PreBerg3	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF537212.PreSpe78	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AB182483.PreMult2	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY005054.PreSpe49	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385511.PreSpe35	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF432133.PreSpe43	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349393.PreSpe53	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349397.PreSpe54	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349395.PreSpe58	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY207050.PreSpe52	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385509.PreSpe41	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AF385554.PreSpe38	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY278625.PreGenom	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY244921.UncR2530	Prevotellaceae	Prevotella
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella||AY349394.PreSpe56	Prevotellaceae	Prevotella
