genus	ormerod_family
Bacteroides	Bacteroidaceae
Barnesiella	Barnesiellaceae
Coprobacter	Barnesiellaceae
Dysgonomonas	Dysgonamonadaceae
Proteiniphilum	Dysgonamonadaceae
Marinifilum	Marinifilaceae
Odoribacter	Marinifilaceae
Butyricimonas	Marinifilaceae
Alkalitalea	Marinilabiliaceae
Geofilum	Marinilabiliaceae
Mangroviflexus	Marinilabiliaceae
Marinilabilia	Marinilabiliaceae
Natronoflexus	Marinilabiliaceae
Thermophagus	Marinilabiliaceae
Paludibacter	Paludibacteraceae
Porphyromonas	Porphyromonadaceae
Macellibacteroides	Porphyromonadaceae
Petrimonas	Porphyromonadaceae
Alloprevotella	Prevotellaceae
Prevotella	Prevotellaceae
Paraprevotella	Prevotellaceae
Alistipes	Rikenellaceae
Parabacteroides	Tannerellaceae
Tannerella	Tannerellaceae
Alkaliflexus	Marinilabiliaceae
Anaerophaga	Marinilabiliaceae
Rikenella	Rikenellaceae
Mucinivorans	Rikenellaceae
