mouse_id	cohort	sex	treatment	site	cage_id	date_of_birth	age_at_death_or_censor	censored
JLc0506	C2013	female	control	JL	506	2013-03-01		
JLc0507	C2013	female	control	JL	507	2013-03-01		
JLc0515	C2013	female	acarbose	JL	515	2013-03-26		
JLc0520	C2013	female	control	JL	520	2013-03-29		
JLc0521	C2013	female	control	JL	521	2013-03-29		
JLc0523	C2013	female	acarbose	JL	523	2013-04-12		
JLc0528	C2013	female	control	JL	528	2013-04-16		
JLc0530	C2013	female	control	JL	530	2013-04-19		
JLc0531	C2013	female	control	JL	531	2013-04-19		
JLc0532	C2013	female	control	JL	532	2013-04-23		
JLc0533	C2013	female	acarbose	JL	533	2013-04-23		
JLc0534	C2013	female	control	JL	534	2013-04-23		
JLc0537	C2013	female	control	JL	537	2013-05-07		
JLc0539	C2013	female	acarbose	JL	539	2013-05-07		
JLc0542	C2013	female	acarbose	JL	542	2013-05-10		
JLc0543	C2013	female	control	JL	543	2013-05-14		
JLc0544	C2013	female	acarbose	JL	544	2013-05-14		
JLc0546	C2013	female	control	JL	546	2013-05-24		
JLc0553	C2013	female	acarbose	JL	553	2013-06-04		
JLc0559	C2013	female	acarbose	JL	559	2013-06-18		
JLc0561	C2013	female	acarbose	JL	561	2013-06-21		
JLc0575	C2013	female	acarbose	JL	575	2013-07-19		
JLc0585	C2013	female	acarbose	JL	585	2013-08-06		
JLc0802	C2013	male	acarbose	JL	802	2013-02-26		
JLc0809	C2013	male	control	JL	809	2013-03-01		
JLc0810	C2013	male	acarbose	JL	810	2013-03-01		
JLc0819	C2013	male	acarbose	JL	819	2013-03-22		
JLc0828	C2013	male	acarbose	JL	828	2013-03-29		
JLc0832	C2013	male	control	JL	832	2013-04-05		
JLc0833	C2013	male	acarbose	JL	833	2013-04-12		
JLc0834	C2013	male	control	JL	834	2013-04-12		
JLc0836	C2013	male	control	JL	836	2013-04-16		
JLc0845	C2013	male	control	JL	845	2013-04-16		
JLc0854	C2013	male	control	JL	854	2013-05-07		
JLc0856	C2013	male	control	JL	856	2013-05-07		
JLc0859	C2013	male	control	JL	859	2013-05-07		
JLc0860	C2013	male	acarbose	JL	860	2013-05-10		
JLc0863	C2013	male	control	JL	863	2013-05-10		
JLc0868	C2013	male	control	JL	868	2013-05-14		
JLc0873	C2013	male	acarbose	JL	873	2013-05-28		
JLc0876	C2013	male	acarbose	JL	876	2013-05-28		
JLc0877	C2013	male	acarbose	JL	877	2013-05-28		
JLc0882	C2013	male	acarbose	JL	882	2013-06-07		
JLc0896	C2013	male	control	JL	896			
JLc0901	C2013	male	control	JL	901			
JLc0903	C2013	male	acarbose	JL	903	2013-07-02		
JLc0912	C2013	male	acarbose	JL	912	2013-07-16		
UM43456	C2013	male	control	UM		2013-03-26	1154	0
UM43512	C2013	female	control	UM	1803	2013-03-26	976	0
UM43596	C2013	female	acarbose	UM	1807	2013-03-27	1056	0
UM43681	C2013	male	control	UM	1810			
UM43785	C2013	male	control	UM	1814	2013-03-29	1268	0
UM43834	C2013	male	acarbose	UM	1816	2013-03-30	1329	0
UM43946	C2013	male	acarbose	UM	1821	2013-04-02	1108	0
UM44373	C2013	male	acarbose	UM	1839	2013-04-19	1167	0
UM44478	C2013	female	control	UM	1843	2013-04-24	991	0
UM44492	C2013	male	acarbose	UM	1844	2013-04-24	1067	0
UM44506	C2013	male	acarbose	UM	1845	2013-04-25	1169	0
UM44688	C2013	male	control	UM	1852	2013-04-27	1026	0
UM44730	C2013	male	control	UM	1854	2013-04-30	1109	0
UM44800	C2013	female	control	UM	1857	2013-05-02	1148	0
UM44835	C2013	female	control	UM	1858	2013-05-02	941	0
UM44877	C2013	female	control	UM	1860	2013-05-02	1218	0
UM44961	C2013	male	control	UM	1863	2013-05-07	1183	0
UM44996	C2013	male	acarbose	UM	1865	2013-05-07	1065	0
UM45080	C2013	male	acarbose	UM	1869	2013-05-18	1248	0
UM45136	C2013	male	control	UM	1871	2013-05-22	981	0
UM45178	C2013	female	control	UM	1873	2013-05-22	1106	0
UM45199	C2013	male	control	UM	1874	2013-05-22	1144	0
UM45318	C2013	female	control	UM	1879	2013-05-24	930	0
UM45416	C2013	male	control	UM	1883	2013-05-27	1049	0
UM45654	C2013	female	acarbose	UM	1893	2013-06-03	1060	0
UM45731	C2013	female	acarbose	UM	1896	2013-06-05	946	0
UM45871	C2013	male	acarbose	UM	1902	2013-06-15	1161	0
UM45892	C2013	male	acarbose	UM	1903	2013-06-15	950	0
