rrs_library_id	analysis_group
L0029G	C2013
L0031G	C2013
L0032G	C2013
L0037G	C2013
L0040G	C2013
L0041G	C2013
L0045G	C2013
L0046G	C2013
L0048G	C2013
L0049G	C2013
L0052G	C2013
L0056G	C2013
L0060G	C2013
L0062G	C2013
L0067G	C2013
L0069G	C2013
L0070G	C2013
L0071G	C2013
L0072G	C2013
L0074G	C2013
L0079G	C2013
L0080G	C2013
L0081G	C2013
L0083G	C2013
L0086G	C2013
L0087G	C2013
L0088G	C2013
L0090G	C2013
L0094G	C2013
L0095G	C2013
L0098G	C2013
L0099G	C2013
L0100G	C2013
L0102G	C2013
L0105G	C2013
L0107G	C2013
L0108G	C2013
L0110G	C2013
L0111G	C2013
L0115G	C2013
L0120G	C2013
L0123G	C2013
L0127G	C2013
L0129G	C2013
L0131G	C2013
L0134G	C2013
L0137G	C2013
L0138G	C2013
L0140G	C2013
L0142G	C2013
L0143G	C2013
L0145G	C2013
L0151G	C2013
L0153G	C2013
L0155G	C2013
L0159G	C2013
L0161G	C2013
L0162G	C2013
L0165G	C2013
L0166G	C2013
L0168G	C2013
L0169G	C2013
L0170G	C2013
L0172G	C2013
L0173G	C2013
L0176G	C2013
L0177G	C2013
L0179G	C2013
L0181G	C2013
L0184G	C2013
L0186G	C2013
L0188G	C2013
L0190G	C2013
L0192G	C2013
L0194G	C2013
L0195G	C2013
L0197G	C2013
L0198G	C2013
L0199G	C2013
L0203G	C2013
L0204G	C2013
L0207G	C2013
L0208G	C2013
L0210G	C2013
L0214G	C2013
L0218G	C2013
L0219G	C2013
L0220G	C2013
L0224G	C2013
L0226G	C2013
L0227G	C2013
L0230G	C2013
L0231G	C2013
L0232G	C2013
L0233G	C2013
L0235G	C2013
L0236G	C2013
L0237G	C2013
L0238G	C2013
L0240G	C2013
L0243G	C2013
L0246G	C2013
L0250G	C2013
L0253G	C2013
L0255G	C2013
L0256G	C2013
L0257G	C2013
L0259G	C2013
L0264G	C2013
L0265G	C2013
L0266G	C2013
L0271G	C2013
L0274G	C2013
L0275G	C2013
L0278G	C2013
L0279G	C2013
L0283G	C2013
L0285G	C2013
L0293G	C2013
L0294G	C2013
L0296G	C2013
L0297G	C2013
L0298G	C2013
L0299G	C2013
L0300G	C2013
L0301G	C2013
L0302G	C2013
L0393G	C2013
L0394G	C2013
L0395G	C2013
L0396G	C2013
L0397G	C2013
L0398G	C2013
L0399G	C2013
L0400G	C2013
L0401G	C2013
L0402G	C2013
L0403G	C2013
L0404G	C2013
L0405G	C2013
L0406G	C2013
L0407G	C2013
L0408G	C2013
L0417G	C2013
L0418G	C2013
L0419G	C2013
L0420G	C2013
L0421G	C2013
L0422G	C2013
L0423G	C2013
L0424G	C2013
L0425G	C2013
L0426G	C2013
L0427G	C2013
L0428G	C2013
L0429G	C2013
L0430G	C2013
L0431G	C2013
L0432G	C2013
