rrs_library_id	extraction_id	run	primer_f	primer_r	sra_id
L0029G	EXT-0029	G	rrs_515f_1	rrs_806r_1	SRR6916622
L0031G	EXT-0031	G	rrs_515f_1	rrs_806r_1	SRR6916623
L0032G	EXT-0032	G	rrs_515f_1	rrs_806r_1	SRR6916620
L0037G	EXT-0037	G	rrs_515f_1	rrs_806r_1	SRR6916621
L0040G	EXT-0040	G	rrs_515f_1	rrs_806r_1	SRR6916626
L0041G	EXT-0041	G	rrs_515f_1	rrs_806r_1	SRR6916627
L0045G	EXT-0045	G	rrs_515f_1	rrs_806r_1	SRR6916624
L0046G	EXT-0046	G	rrs_515f_1	rrs_806r_1	SRR6916625
L0048G	EXT-0048	G	rrs_515f_1	rrs_806r_1	SRR6916628
L0049G	EXT-0049	G	rrs_515f_1	rrs_806r_1	SRR6916629
L0052G	EXT-0052	G	rrs_515f_1	rrs_806r_1	SRR6916602
L0056G	EXT-0056	G	rrs_515f_1	rrs_806r_1	SRR6916603
L0060G	EXT-0060	G	rrs_515f_1	rrs_806r_1	SRR6916600
L0062G	EXT-0062	G	rrs_515f_1	rrs_806r_1	SRR6916601
L0067G	EXT-0067	G	rrs_515f_1	rrs_806r_1	SRR6916606
L0069G	EXT-0069	G	rrs_515f_1	rrs_806r_1	SRR6916607
L0070G	EXT-0070	G	rrs_515f_1	rrs_806r_1	SRR6916604
L0071G	EXT-0071	G	rrs_515f_1	rrs_806r_1	SRR6916605
L0072G	EXT-0072	G	rrs_515f_1	rrs_806r_1	SRR6916608
L0074G	EXT-0074	G	rrs_515f_1	rrs_806r_1	SRR6916609
L0079G	EXT-0079	G	rrs_515f_1	rrs_806r_1	SRR6916550
L0080G	EXT-0080	G	rrs_515f_1	rrs_806r_1	SRR6916549
L0081G	EXT-0081	G	rrs_515f_1	rrs_806r_1	SRR6916548
L0083G	EXT-0083	G	rrs_515f_1	rrs_806r_1	SRR6916547
L0086G	EXT-0086	G	rrs_515f_1	rrs_806r_1	SRR6916554
L0087G	EXT-0087	G	rrs_515f_1	rrs_806r_1	SRR6916553
L0088G	EXT-0088	G	rrs_515f_1	rrs_806r_1	SRR6916552
L0090G	EXT-0090	G	rrs_515f_1	rrs_806r_1	SRR6916551
L0094G	EXT-0094	G	rrs_515f_1	rrs_806r_1	SRR6916546
L0095G	EXT-0095	G	rrs_515f_1	rrs_806r_1	SRR6916545
L0098G	EXT-0098	G	rrs_515f_1	rrs_806r_1	SRR6916569
L0099G	EXT-0099	G	rrs_515f_1	rrs_806r_1	SRR6916570
L0100G	EXT-0100	G	rrs_515f_1	rrs_806r_1	SRR6916571
L0102G	EXT-0102	G	rrs_515f_1	rrs_806r_1	SRR6916572
L0105G	EXT-0105	G	rrs_515f_1	rrs_806r_1	SRR6916565
L0107G	EXT-0107	G	rrs_515f_1	rrs_806r_1	SRR6916566
L0108G	EXT-0108	G	rrs_515f_1	rrs_806r_1	SRR6916567
L0110G	EXT-0110	G	rrs_515f_1	rrs_806r_1	SRR6916568
L0111G	EXT-0111	G	rrs_515f_1	rrs_806r_1	SRR6916573
L0115G	EXT-0115	G	rrs_515f_1	rrs_806r_1	SRR6916574
L0120G	EXT-0120	G	rrs_515f_1	rrs_806r_1	SRR6916669
L0123G	EXT-0123	G	rrs_515f_1	rrs_806r_1	SRR6916668
