sample_id	mouse_id	collection_date	collection_time	empty_tube_weight	full_tube_weight	hydrated_tube_weight	comments
TJL-0001	JLc0506	2015-10-27	12	1.407	1.435	1.493	
TJL-0002	JLc0507	2015-10-27	12	1.410	1.469	1.526	
TJL-0003	JLc0515	2015-10-27	12	1.412	1.570	1.674	
TJL-0004	JLc0520	2015-10-27	12	1.400	1.429	1.478	
TJL-0005	JLc0521	2015-10-27	12	1.404	1.430	1.466	
TJL-0006	JLc0523	2015-10-27	12	1.406	1.447	1.484	
TJL-0007	JLc0528	2015-10-27	12	1.410	1.433	1.474	
TJL-0008	JLc0530	2015-10-27	12	1.401	1.440	1.511	
TJL-0009	JLc0531	2015-10-27	12	1.410	1.452	1.48	
TJL-0010	JLc0532	2015-10-27	12	1.410	1.454	1.504	
TJL-0011	JLc0533	2015-10-27	12	1.408	1.495	1.550	
TJL-0012	JLc0534	2015-10-27	12	1.407	1.427	1.470	
TJL-0013	JLc0537	2015-10-27	12	1.406	1.444	1.502	
TJL-0015	JLc0539	2015-10-27	12	1.417	1.482	1.553	
TJL-0016	JLc0542	2015-10-27	12	1.412	1.495	1.542	
TJL-0017	JLc0543	2015-10-27	12	1.414	1.458	1.522	
TJL-0018	JLc0544	2015-10-27	12	1.409	1.457	1.515	
TJL-0019	JLc0553	2015-10-27	12	1.412	1.507	1.564	
TJL-0020	JLc0559	2015-10-27	12	1.412	1.490	1.538	
TJL-0021	JLc0561	2015-10-27	12	1.409	1.438	1.471	
TJL-0022	JLc0575	2015-10-27	13	1.411	1.494	1.563	
TJL-0023	JLc0585	2015-10-27	13	1.414	1.442	1.484	
TJL-0024	JLc0546	2015-10-27	13	1.414	1.446	1.500	
TJL-0025	JLc0809	2015-10-27	13	1.413	1.450	1.500	
TJL-0026	JLc0854	2015-10-29	11	1.412	1.462	1.524	
TJL-0027	JLc0802	2015-10-27	13	1.401	1.453	1.490	
TJL-0028	JLc0810	2015-10-27	13	1.395	1.453	1.513	
TJL-0029	JLc0819	2015-10-27	13	1.406	1.471	1.523	
TJL-0030	JLc0828	2015-10-27	13	1.405	1.494	1.575	
TJL-0031	JLc0833	2015-10-27	13	1.403	1.505	1.550	
TJL-0032	JLc0834	2015-10-27	13	1.408	1.456	1.524	
TJL-0033	JLc0832	2015-10-27	13	1.410	1.427	1.484	
TJL-0034	JLc0856	2015-10-29	11	1.404	1.494	1.528	
TJL-0035	JLc0859	2015-10-29	11	1.403	1.458	1.499	
TJL-0036	JLc0860	2015-10-29	11	1.406	1.517	1.589	
TJL-0037	JLc0868	2015-10-29	11	1.408	1.458	1.503	
TJL-0038	JLc0896	2015-10-29	11	1.408	1.432	1.482	
TJL-0039	JLc0836	2015-10-29	11	1.408	1.449	1.460	
TJL-0040	JLc0845	2015-10-29	11	1.406	1.442	1.494	
TJL-0041	JLc0863	2015-10-29	11	1.405	1.462	1.551	
TJL-0042	JLc0873	2015-10-29	11	1.409	1.483	1.576	
TJL-0043	JLc0876	2015-10-29	11	1.408	1.523	1.585	
TJL-0044	JLc0877	2015-10-29	11	1.406	1.528	1.577	
TJL-0045	JLc0882	2015-10-29	11	1.407	1.441	1.486	
TJL-0046	JLc0903	2015-10-29	11	1.407	1.500	1.571	
TJL-0047	JLc0912	2015-10-29	11	1.413	1.489	1.540	
TJL-0048	JLc0901	2015-10-29	11	1.407	1.434	1.451	
UM-0001	UM43456	2015-11-10	9	1.407	1.460	1.486	
UM-0003	UM43785	2015-11-10	9	1.409	1.433	1.467	
UM-0004	UM43834	2015-11-10	9	1.413	1.480	1.531	
UM-0005	UM43946	2015-11-10	9	1.409	1.448	1.516	
UM-0006	UM44373	2015-11-10	9	1.407	1.517	1.564	
UM-0007	UM44492	2015-11-10	9	1.407	1.435	1.476	
UM-0008	UM44506	2015-11-10	9	1.408	1.508	1.534	
UM-0009	UM45136	2015-11-10	9	1.408	1.441	1.454	
UM-0010	UM46130	2015-11-10	9	1.402	1.432	1.474	
UM-0011	UM43681	2015-11-10	9	1.411	1.443	1.501	
UM-0012	UM44688	2015-11-10	9	1.408	1.444	1.497	
UM-0013	UM46249	2015-11-10	10	1.404	1.524	1.570	
UM-0014	UM46074	2015-11-10	10	1.417	1.458	1.531	
UM-0015	UM45871	2015-11-10	10	1.408	1.457	1.504	
UM-0016	UM45892	2015-11-10	10	1.405	1.460	1.507	
UM-0017	UM44730	2015-11-10	10	1.411	1.475	1.512	
UM-0018	UM44961	2015-11-10	10	1.407	1.444	1.496	
UM-0019	UM44996	2015-11-10	10	1.413	1.533	1.624	
UM-0020	UM45080	2015-11-10	10	1.409	1.472	1.510	
UM-0021	UM45199	2015-11-10	10	1.409	1.456	1.510	
UM-0022	UM45416	2015-11-10	10	1.409	1.441	1.498	
UM-0023	UM47341	2015-11-10	10	1.410	1.431	1.458	
UM-0024	UM46767	2015-11-10	10	1.413	1.512	1.552	
UM-0025	UM46844	2015-11-10	10	1.416	1.477	1.507	
UM-0026	UM43512	2015-11-10	11	1.407	1.461	1.534	
UM-0027	UM43596	2015-11-10	11	1.411	1.477	1.543	
UM-0028	UM44478	2015-11-10	11	1.409	1.436	1.462	
UM-0029	UM44800	2015-11-10	11	1.407	1.434	1.485	
UM-0030	UM44835	2015-11-10	11	1.419	1.477	1.514	
UM-0031	UM44877	2015-11-10	11	1.406	1.450	1.536	
UM-0032	UM45178	2015-11-10	11	1.411	1.435	1.454	
UM-0033	UM45318	2015-11-10	11	1.408	1.453	1.491	
UM-0034	UM45654	2015-11-10	12	1.403	1.515	1.603	
UM-0035	UM45731	2015-11-10	12	1.404	1.647	1.729	
UM-0036	UM45997	2015-11-10	12	1.405	1.427	1.474	
UM-0037	UM46270	2015-11-10	12	1.406	1.446	1.491	
UM-0038	UM46515	2015-11-10	12	1.407	1.461	1.495	
UM-0039	UM46669	2015-11-10	12	1.411	1.493	1.573	
UM-0040	UM46739	2015-11-10	12	1.406	1.514	1.599	
UM-0041	UM46907	2015-11-10	12	1.405	1.429	1.470	
UM-0042	UM46935	2015-11-10	12	1.409	1.450	1.487	
UM-0043	UM47054	2015-11-10	12	1.409	1.475	1.507	
UM-0044	UM47103	2015-11-10	12	1.408	1.424	1.454	
UM-0045	UM47257	2015-11-10	12	1.410	1.446	1.515	
UM-0046	UM47383	2015-11-10	12	1.409	1.444	1.489	
UM-0047	UM47579	2015-11-10	12	1.407	1.567	1.646	
UM-0048	UM47978	2015-11-10	12	1.407	1.457	1.498	
UM-0049	UM47649	2015-11-10	12	1.405	1.454	1.505	
UT-0097	UT06223	2015-11-19	9	1.412	1.440	1.488	
UT-0098	UT06719	2015-11-19	9	1.412	1.488	1.566	
UT-0099	UT06263	2015-11-19	9	1.412	1.455	1.537	
UT-0100	UT06276	2015-11-19	9	1.408	1.531	1.598	
UT-0101	UT06285	2015-11-19	9	1.405	1.464	1.494	
UT-0102	UT06305	2015-11-19	9	1.405	1.440	1.498	
UT-0103	UT06309	2015-11-19	9	1.412	1.431	1.468	
UT-0104	UT06316	2015-11-19	9	1.416	1.447	1.468	
UT-0105	UT06381	2015-11-19	9	1.411	1.451	1.498	
UT-0106	UT06403	2015-11-19	9	1.406	1.440	1.504	
UT-0107	UT06414	2015-11-19	9	1.403	1.461	1.503	
UT-0108	UT06426	2015-11-19	9	1.405	1.489	1.531	
UT-0109	UT06458	2015-11-19	9	1.408	1.474	1.549	
UT-0110	UT06466	2015-11-19	9	1.408	1.434	1.483	
UT-0111	UT06472	2015-11-19	9	1.405	1.417	1.444	
UT-0112	UT06508	2015-11-19	9	1.417	1.455	1.497	
UT-0113	UT06511	2015-11-19	10	1.416	1.576	1.623	
UT-0114	UT06527	2015-11-19	10	1.407	1.456	1.510	
UT-0115	UT06533	2015-11-19	10	1.408	1.501	1.544	
UT-0116	UT06542	2015-11-19	10	1.409	1.439	1.460	
UT-0117	UT06555	2015-11-19	10	1.406	1.470	1.508	
UT-0118	UT06566	2015-11-19	10	1.412	1.460	1.506	
UT-0119	UT06576	2015-11-19	10	1.413	1.439	1.480	
UT-0120	UT06593	2015-11-19	10	1.411	1.477	1.531	
UT-0121	UT06607	2015-11-19	10	1.410	1.493	1.534	
UT-0122	UT06636	2015-11-19	10	1.418	1.461	1.550	
UT-0123	UT06667	2015-11-19	10	1.414	1.442	1.487	
UT-0124	UT06697	2015-11-19	10	1.406	1.418	1.440	
UT-0125	UT06701	2015-11-19	10	1.419	1.514	1.560	
UT-0126	UT06702	2015-11-19	10	1.409	1.431	1.478	
UT-0127	UT06728	2015-11-19	10	1.419	1.483	1.529	
UT-0128	UT06737	2015-11-19	10	1.410	1.459	1.506	
UT-0129	UT06748	2015-11-19	10	1.410	1.532	1.574	
UT-0130	UT06776	2015-11-19	10	1.405	1.469	1.556	
UT-0131	UT06812	2015-11-19	10	1.412	1.475	1.538	
UT-0132	UT06821	2015-11-19	10	1.417	1.561	1.593	
UT-0133	UT06823	2015-11-19	10	1.407	1.442	1.503	
UT-0134	UT06836	2015-11-19	10	1.408	1.462	1.495	
UT-0135	UT06848	2015-11-19	10	1.413	1.436	1.469	
UT-0136	UT06852	2015-11-19	10	1.413	1.428	1.452	
UT-0137	UT06860	2015-11-19	11	1.411	1.539	1.583	
UT-0138	UT06864	2015-11-19	11	1.408	1.469	1.518	
UT-0139	UT06868	2015-11-19	11	1.404	1.425	1.481	
UT-0140	UT06871	2015-11-19	11	1.407	1.443	1.511	
UT-0141	UT06876	2015-11-19	11	1.405	1.509	1.566	
UT-0142	UT06877	2015-11-19	11	1.408	1.567	1.617	
UT-0143	UT06893	2015-11-19	11	1.407	1.463	1.512	
UT-0144	UT06898	2015-11-19	11	1.409	1.442	1.477	
